id_x,names,type,crosses,breeder,effects,ailment,flavor,name,category,THC-Total,CBD-Total
1,100 OG,Hybrid,,Old School Breeder's Association,Focused,Depression,Citrus,,,,
2,707 Headband,Hybrid,"378,272",Unknown Breeder,,,,707 Headband - Water Hash,"Concentrate,Bubble Hash,",,
3,A-10,Indica,0,,"Relaxed, Happy, Uplifted, Energetic, Sleepy, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Muscle Spasms, Depression","Citrus, Sweet",,,,
4,Acapulco Gold,Sativa,0,,"Happy, Euphoric, Uplifted, Relaxed, Creative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Lack of Appetite","Earthy, Citrus",,,,
5,Afghani Bullrider,Hybrid,0,Unknown Breeder,"Uplifted, Relaxed, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Pain","Sweet, Pine, Earthy",,,,
6,Afghan Big Bud,Indica,"9,39",,"Euphoric, Happy, Talkative, Relaxed, Sleepy, Dry Mouth, Paranoid","Stress, Pain, Nausea, Insomnia, Depression","Lemon, Lavender",,,,
7,Afghan Diesel,Hybrid,0,Unknown Breeder,,,,,,,
8,Afghan Kush,Hybrid,0,White Label Co.,,,,Afghan Kush - Wax,"Concentrate,Wax,",,
9,Afghani,Indica,0,,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Insomnia, Pain, Lack of Appetite, Depression","Earthy, Sweet, Pine",,,,
10,Afghanica,Hybrid,10,Flying Dutchmen Seed Company,,,,,,,
11,Afghooey,Indica,0,,"Uplifted, Sleepy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Muscle Spasms","Earthy, Sweet",,,,
12,Afgoo,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Lack of Appetite, Muscle Spasms","Pine, Earthy, Citrus",,,16.65%,0.22%
13,Afgooey,Indica,0,,"Relaxed, Happy, Sleepy, Euphoric, Dry Mouth, Paranoid, Anxious","Pain, Insomnia, Lack of Appetite, Stress, Muscle Spasms","Earthy, Pine",,,,
14,Afwreck,Hybrid,0,Unknown Breeder,,,,,,,
15,Agent Orange,Hybrid,"455, 386",TGA Seeds,,,,Agent Orange - Pre-roll,"Flowers,Pre-Roll",19.44%,0.17%
16,AK-47,Hybrid,"10, 257",Serious Seeds,,,,High THC Oil - Phoenix Tears,,17.12%,0.07%
17,AK-48,Hybrid,0,Nirvana,,,,AK-48 - Wax,"Concentrate,Wax,",,
18,Alaskan Thunder Fuck,Sativa,0,Northern View Collective,"Happy, Euphoric, Uplifted, Energetic, Relaxed, Dry Mouth, Paranoid, Anxious","Stress, Depression, Lack of Appetite, Pain","Earthy, Pine",,,,
19,Alien Kush,Hybrid,0,The Cali Connection,,,Earthy,Alien Kush - Vaporizer Cartridge,"Vapes,Vape Cartidge,",13.29%,0.05%
20,Aloha,Hybrid,0,Unknown Breeder,"Energetic, Uplifted, Happy, Creative, Focused, Dry Mouth, Anxious","Depression, Stress, Pain","Sweet, Citrus",,,,
21,Alohaberry,Hybrid,0,,,,,,,,
22,Ambrosia,Hybrid,"139,81",Jordan of the Islands,,,,Ambrosia - Wax,"Concentrate,Wax,",,
23,Amethyst,Hybrid,0,Gage Green Group,,,,,,,
24,Amnesia Haze,Hybrid,0,Soma Seeds,"Happy, Uplifted, Euphoric, Energetic, Creative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Citrus, Lemon, Earthy",Amnesia Haze - Vaporizer Disposable,"Vapes,Disposable Vape,",17.57%,< 0.01%
25,Anesthesia,Indica,0,,"Hungry, Sleepy, Happy, Euphoric, Creative, Paranoid, Anxious","Pain, Stress, Insomnia, Lack of Appetite",Earthy,,,,
26,Apollo 11,Hybrid,0,Brothers Grimm Marijuana Seed Bank,,,,,,,
27,Arabian Gold,Hybrid,0,Unknown Breeder,"Euphoric, Tingly, Sleepy, Creative, Paranoid","Stress, Insomnia, Pain",,,,,
28,Arjan's Strawberry Haze,Hybrid,"268, 174",Green House,,,,,,,
29,Atomic Northern Lights,Hybrid,0,Dr. Atomic,,,,Atomic Northern Lights - Kief,"Concentrate,Kief,",,
30,A-Train,Hybrid,0,T.H.Seeds,,,,A-Train - Shatter,"Concentrate,Shatter,",,
31,Avalon,Hybrid,"10, 66",Next Generation Seeds,,,,,,,
32,Banana Diesel,Hybrid,0,Baked Genetics,,,,,,,
33,Banana Kush,Hybrid,0,Crockett Family Farms,,,,Banana Kush - Wax,"Concentrate,Wax,",,
34,BC Roadkill,Hybrid,0,Cannacopia Seeds,,,,,,,
35,BC Sweet Tooth,Hybrid,0,BC Bud Depot,"Uplifted, Happy, Relaxed, Sleepy, Euphoric, Dry Mouth, Paranoid","Stress, Insomnia, Depression, Nausea, Pain","Sweet, Honey",,,,
36,Berkeley,Hybrid,0,Unknown Breeder,"Talkative, Happy, Uplifted, Energetic, Focused, Anxious, Dry Mouth, Paranoid","Stress, Depression, Lack of Appetite, Pain","Citrus, Sweet",,,,
37,Berry White,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia","Berry, Sweet, Blueberry",Berry White - Pre-roll,"Flowers,Pre-Roll",,
38,Big Bud,Hybrid,267,Seed Bank,"Relaxed, Sleepy, Hungry, Happy, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression, Muscle Spasms",Earthy,Big Bud - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
39,Big Budda Cheese,Hybrid,"370, 10",Big Buddha,,,,,,,
40,Big Wreck,Hybrid,0,Unknown Breeder,"Euphoric, Relaxed, Uplifted, Tingly, Happy, Dry Mouth, Paranoid","Stress, Insomnia, Depression, Lack of Appetite, Muscle Spasms",Earthy,Big Wreck - Oil,"Concentrate,Oil,",,
41,Black Dhalia,Hybrid,0,,,,,,,,
42,Black Diesel,Hybrid,0,Advanced Seeds,,,,Black Diesel - Shatter,"Concentrate,Shatter,",17.10%,0.17%
43,Black Domina,Hybrid,0,Sensi Seeds,"Relaxed, Sleepy, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Depression, Pain, Insomnia, Lack of Appetite","Pine, Pepper",Black Domina - Oil,"Concentrate,Oil,",,
44,Black Jack,Hybrid,0,Sweet Seeds,,,,Black Jack - Pre-roll,"Flowers,Pre-Roll",19.74%,0.22%
45,Black Label Kush,Indica,0,,"Euphoric, Relaxed, Sleepy, Happy, Uplifted, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression, Inflammation",Berry,,,,
46,Black Widow,Hybrid,0,Shantibaba,,,,Black Widow - Shatter,"Concentrate,Shatter,",,
47,Blackberry,Hybrid,0,Nebu,,,,Stoney Stick - BlackBerry - Pre-roll,"Flowers,Pre-Roll",19.14%,0.20%
48,Blackberry Hashplant,Indica,0,,"Euphoric, Sleepy, Uplifted, Energetic, Happy, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Nausea","Berry, Sweet, Earthy",,,,
49,Blackberry Kush,Hybrid,0,Unknown Breeder,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid, Anxious","Stress, Pain, Insomnia, Depression, Nausea","Berry, Sweet, Earthy",Blackberry Kush Cones - 12g -12 pack - Pre-roll,"Flowers,Pre-Roll",21.12%,0.15%
50,Blockhead,Hybrid,0,Spice of Life Seeds,,,,,,,
51,Blue Bayou,Hybrid,0,Unknown Breeder,"Uplifted, Creative, Happy, Sleepy, Dry Mouth","Nausea, Stress, Depression",Sweet,Blue Bayou - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
52,Blue Champagne,Hybrid,0,Unknown Breeder,,,,Blue Champagne - Shatter,"Concentrate,Shatter,",,
53,Blue Cheese,Hybrid,"40, 66",Big Buddha Seeds,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious","Stress, Insomnia, Pain, Depression",Blueberry,Blue Cheese - Hash,,19.97%,0.21%
54,Blue Crack,Hybrid,0,Unknown Breeder,,,,Blue Crack - Shatter,"Concentrate,Shatter,",,
55,Blue Diesel,Hybrid,0,,,,,Blue Diesel - Hash,,,
56,Blue Dragon,Hybrid,0,Unknown Breeder,,,,Blue Dragon - Oil,"Concentrate,Oil,",,
57,Blue Dream,Hybrid,0,Unknown Breeder,,,,Blue Dream - Pre-roll,"Flowers,Pre-Roll",10.76%,< 0.01%
58,Blue Goo,Hybrid,0,Bluegrass Seeds,,,,Blue Goo - Hash,,,
59,Blue Mystic,Hybrid,"66, 370",Unknown Breeder,"Relaxed, Happy, Uplifted, Sleepy, Dry Mouth, Paranoid, Anxious","Stress, Depression, Nausea","Blueberry, Earthy, Sweet",Blue Mystic - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
60,Blue OG,Hybrid,0,G13 Labs,,,,Blue OG - Wax,"Concentrate,Wax,",,
61,Blue Rhino,Hybrid,0,Unknown Breeder,,,,Blue Rhino - Water Hash,"Concentrate,Bubble Hash,",16.32%,0.16%
62,Blue Satellite,Hybrid,66,Spice of Life Seeds,"Happy, Energetic, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Nausea, Inflammation","Sweet, Blueberry",Blue Satellite - Shatter,"Concentrate,Shatter,",,
63,Blue Train,Hybrid,0,Unknown Breeder,,,,Blue Train - Water Hash,"Concentrate,Bubble Hash,",,
64,Blue Widow,Hybrid,0,,,,,Watermelon Hard Candies,"Edibles,Candy,",,
65,Blueberry,Hybrid,0,DJ Short,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Insomnia, Lack of Appetite","Blueberry, Sweet, Berry",Blueberry Tincture,"Tincture,",16.57%,0.07%
66,Blueberry Diesel,Hybrid,0,Unknown Breeder,,,,Blueberry Diesel - Wax,"Concentrate,Wax,",,
67,Blueberry Haze,Hybrid,0,DNA Genetics,,,,Blueberry Haze - Oil,"Concentrate,Oil,",,
68,Blueberry Headband,Hybrid,0,Emerald Triangle,,,,Blueberry Headband - Oil,"Concentrate,Oil,",,
69,Blueberry Kush,Indica,0,,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Blueberry, Berry, Sweet",,,24.73%,0.20%
70,Boysenberry,Hybrid,0,Bodhi Seeds,,,,,,,
71,Brainstorm Haze,Hybrid,0,Delta-9 Labs,"Talkative, Happy, Uplifted, Focused, Energetic, Dry Mouth, Anxious","Pain, Muscle Spasms, Stress, Depression, Nausea","Sweet, Earthy",,,,
72,Broke Diesel,Hybrid,0,Unknown Breeder,,,,,,,
73,Bruce Banner,Hybrid,0,Delta 9 Caregivers,,,,Bruce Banner .7G - Pre-roll,"Flowers,Pre-Roll",20.72%,0.17%
74,Bubba Kush,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Sleepy, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Pain, Stress, Insomnia, Depression, Lack of Appetite","Earthy, Sweet",Bubba Kush SuperBud,,21.80%,0.14%
75,Bubba OG,Hybrid,0,Dr. Greenthumb Seeds,"Relaxed, Happy, Sleepy, Uplifted, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Depression, Insomnia, Nausea","Earthy, Sweet",Bubba OG - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
76,Bubble Gum,Hybrid,0,Serious Seeds,,,,Bubble Gum - Pre-roll,"Flowers,Pre-Roll",,
77,Bubbleberry,Hybrid,"66, 77",Sagarmatha Seeds,,,,Bubbleberry - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
78,Bubblegun,Hybrid,0,Unknown Breeder,,,,,,,
79,Buddha's Sister,Hybrid,0,Soma,,,,,,,
80,Burmese Kush,Hybrid,0,,,,,,,16.20%,0.05%
81,Butterscotch,Indica,0,,"Euphoric, Focused, Creative, Relaxed, Energetic, Dry Mouth, Paranoid","Stress, Depression, Insomnia, Muscle Spasms, Pain",,,,,
82,C13 Haze,Hybrid,0,DNA Genetics,"Euphoric, Creative, Uplifted, Energetic, Dry Mouth, Paranoid","Pain, Stress, Muscle Spasms, Depression, Nausea","Earthy, Lemon",,,,
83,Cannadential,Hybrid,0,DNA Genetics,,,,,,,
84,Cannalope Haze,Hybrid,0,DNA Genetics,"Happy, Relaxed, Focused, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Nausea","Sweet, Lime",Cannalope Haze - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
85,Carmelicious,Hybrid,0,,,,,,,,
86,Casey Jones,Hybrid,0,Head Seeds,"Euphoric, Energetic, Uplifted, Happy, Talkative, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Inflammation","Sweet, Earthy",Casey Jones - Wax,"Concentrate,Wax,",9.91%,0.06%
87,Cat Piss,Hybrid,0,Unknown Breeder,"Happy, Energetic, Creative, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Lack of Appetite","Ammonia, Earthy",Cat Piss - Wax,"Concentrate,Wax,",,
88,Cataract Kush,Hybrid,0,DNA Genetics,,,,Cataract Kush - Shatter,"Concentrate,Shatter,",,
89,Champagne,Hybrid,"165, 180, 81",Unknown Breeder,,,,Champagne - Pre-roll,"Flowers,Pre-Roll",,
90,Charlottes Web,Sativa,0,,,,,,,,
91,Cheese,Hybrid,0,Unknown Breeder,,,,Cheese - Wax,"Concentrate,Wax,",13.66%,0.06%
92,Chemdawg,Hybrid,0,Bud Rx Delivery,,,,Chemdawg - Shatter,"Concentrate,Shatter,",22.54%,0.20%
93,Chemdawg #4,Hybrid,0,Unknown Breeder,,,,Chemdawg #4 - Honeycomb,,,
94,Chernobyl,Hybrid,0,TGA Seeds,,,,Chernobyl - Wax,"Concentrate,Wax,",13.86%,0.02%
95,Cherry AK-47,Hybrid,0,Unknown Breeder,,,,Cherry AK-47 - Hash,,,
96,Cherry Bomb,Hybrid,"353, 562",Almighty Seeds,,,,Cherry Bomb - Pre-roll,"Flowers,Pre-Roll",,
97,Cherry Kush,Organi,0,Carl D.,,,,,,16.81%,0.19%
98,Chiesel,Sativa,0,Holistic Healing Collective,,,,,,,
99,Chocolate Kush,Hybrid,0,DNA Genetics,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Lack of Appetite","Earthy, Coffee, Sweet",Chocolate Kush - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
100,Chocolope,Sativa,0,WOSC,"Happy, Energetic, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain, Lack of Appetite","Earthy, Coffee, Sweet",,,20.75%,0.06%
101,Church OG,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Uplifted, Creative, Horny, Dry Mouth, Paranoid","Stress, Depression, Pain, Insomnia","Earthy, Citrus",Church OG - Shatter,"Concentrate,Shatter,",,
102,Cinderella 99,Sativa,0,Holistic Healing Collective,,,,,,,
103,Citrus Kush,Hybrid,0,,,,,,,,
104,Connie Chung,Hybrid,0,DNA Genetics,,,,,,,
105,Cotton Candy Kush,Hybrid,0,,,,,,,15.52%,0.13%
106,Cracker Jack,Hybrid,0,Unknown Breeder,"Uplifted, Energetic, Focused, Creative, Talkative, Dry Mouth, Paranoid","Stress, Depression, Lack of Appetite, Nausea",Citrus,Cracker Jack - Kief,"Concentrate,Kief,",,
107,Critical Mass,Hybrid,"10, 370",Seed Bank,"Relaxed, Happy, Sleepy, Uplifted, Focused, Dry Mouth, Anxious, Paranoid","Stress, Pain, Depression, Insomnia, Inflammation","Earthy, Sweet",Critical Mass - Shatter,"Concentrate,Shatter,",,
108,Dairy Queen,Hybrid,0,TGA Seeds,,,,Dairy Queen - Wax,"Concentrate,Wax,",15.29%,0.16%
109,Darth Vader OG,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Hungry, Dry Mouth, Paranoid","Insomnia, Stress, Pain, Depression","Grape, Earthy, Sweet",,,,
110,Death Star,Hybrid,0,Unknown Breeder,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Anxious, Paranoid","Stress, Pain, Depression, Insomnia, Nausea",Earthy,Death Star - Shatter,"Concentrate,Shatter,",,
111,Deep Purple,Hybrid,0,TGA Seeds,"Relaxed, Euphoric, Sleepy, Happy, Tingly, Dry Mouth, Anxious","Stress, Pain, Depression, Insomnia, Lack of Appetite","Grape, Earthy, Sweet",Deep Purple - Wax,"Concentrate,Wax,",14.90%,0.11%
112,Diablo,Hybrid,0,Next Generation Seeds,"Relaxed, Happy, Euphoric, Uplifted, Sleepy, Dry Mouth, Anxious, Paranoid","Stress, Pain, Insomnia, Depression, Inflammation",Earthy,Diablo - Oil,"Concentrate,Oil,",,
113,Diesel Duff,Hybrid,0,,,,,,,,
114,DJ Short Blueberry,Indica,0,DJ Short,"Relaxed, Happy, Euphoric, Uplifted, Creative, Dry Mouth, Anxious","Stress, Insomnia, Pain, Depression, Lack of Appetite","Blueberry, Sweet, Berry",,,20.23%,0.14%
115,Domino,Hybrid,0,Unknown Breeder,"Sleepy, Happy, Tingly, Uplifted, Euphoric, Dry Mouth","Stress, Insomnia, Depression, Pain, Muscle Spasms",,Domino - Wax,"Concentrate,Wax,",,
116,Double D,Sativa,0,PAPA GANJA,,,,,,,
117,Double Diesel,Hybrid,0,Lowlife Seeds,"Creative, Happy, Focused, Energetic, Euphoric, Dry Mouth, Paranoid","Depression, Stress, Pain, Insomnia","Lime, Citrus",,,,
118,Dream Queen,Hybrid,0,Unknown Breeder,,,,Dream Queen - Pre-roll,"Flowers,Pre-Roll",,
119,Durban Cheese,Hybrid,0,Unknown Breeder,,,,,,,
120,Durban Poison,Sativa,0,Nirvana,"Uplifted, Happy, Energetic, Focused, Euphoric, Dry Mouth, Paranoid, Anxious","Depression, Stress, Pain, Nausea","Earthy, Sweet, Pine",Soda - Dr. Durban Poison,"Edibles,Drink,",18.89%,0.23%
121,Dutch Treat,Hybrid,0,Unknown Breeder,,,,Dutch Treat - Pre-roll,"Flowers,Pre-Roll",22.05%,0.21%
122,Early Girl,Indica,0,,"Relaxed, Happy, Uplifted, Euphoric, Hungry, Dry Mouth, Anxious, Paranoid","Stress, Pain, Depression, Muscle Spasms, Lack of Appetite","Citrus, Earthy, Sweet",Early Girl - Wax,"Concentrate,Wax,",,
123,Earthquake,Hybrid,0,,,,,,,,
124,East Coast Sour Diesel,Sativa,0,,"Happy, Focused, Energetic, Uplifted, Euphoric, Dry Mouth, Paranoid, Anxious","Muscle Spasms, Stress, Pain, Depression, Inflammation","Citrus, Lemon",,,24.68%,0.20%
125,Ed Rosenthal Super Bud,Hybrid,0,Sensi Seeds,,,,,,,
126,El Jeffe,Hybrid,0,,,,,,,,
127,El Nino,Hybrid,0,Green House Seed Co.,,,,,,,
128,Euphoria,Hybrid,0,Royal Queen,,,,Euphoria - Pre-roll,"Flowers,Pre-Roll",,
129,Exodus Cheese,Hybrid,0,Green House Seed Co.,,,,,,,
130,Fire Haze,Sativa,0,,"Focused, Euphoric, Happy, Relaxed, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Sweet, Berry, Earthy",,,,
131,Fire OG,Hybrid,0,Dark Heart Nursery,,,,Tarantula - Fire OG - Pre-roll,"Flowers,Pre-Roll",,
132,Flo,Hybrid,10,DJ Short,,,,Flo - Wax,"Concentrate,Wax,",,
133,Frostbite,Sativa,0,,"Sleepy, Happy, Relaxed, Tingly, Uplifted, Dry Mouth","Depression, Insomnia, Pain, Lack of Appetite, Stress","Earthy, Skunk, Berry",,,,
134,Fruity Pebbles,Hybrid,0,,,,,,,24.75%,0.29%
135,Fucking Incredible,Hybrid,0,Vancouver Island Seed Company,"Relaxed, Euphoric, Happy, Uplifted, Dry Mouth, Paranoid, Anxious","Pain, Stress, Depression, Insomnia","Skunk, Earthy",Fucking Incredible Tincture,"Tincture,",,
136,G-13,Hybrid,0,,,,,,,,
137,G13 Haze,Hybrid,0,Soma Seeds,,,,G13 Haze - Shatter,"Concentrate,Shatter,",,
138,God Bud,Hybrid,0,Jordan of the Islands,"Relaxed, Happy, Euphoric, Sleepy, Uplifted, Dry Mouth, Paranoid, Anxious","Stress, Pain, Depression, Inflammation, Insomnia","Earthy, Sweet",God Bud - Oil,"Concentrate,Oil,",11.31%,6.86%
139,Godberry,Indica,0,,"Relaxed, Sleepy, Happy, Euphoric, Dry Mouth, Paranoid","Insomnia, Pain, Stress, Muscle Spasms, Depression","Berry, Blueberry, Sweet",,,16.18%,0.34%
140,God's Gift,Hybrid,0,,,,,,,,
141,Golden Goat,Hybrid,0,Unknown Breeder,,,,,,22.28%,0.17%
142,Goo,Hybrid,0,Unknown Breeder,"Sleepy, Relaxed, Hungry, Euphoric, Happy, Dry Mouth, Paranoid","Pain, Stress, Insomnia, Lack of Appetite, Muscle Spasms","Berry, Sweet, Blueberry",Goo - Wax,"Concentrate,Wax,",,
143,Goldwing,Sativa,0,,"Uplifted, Happy, Euphoric, Creative, Energetic, Dry Mouth, Paranoid","Stress, Depression, Nausea, Pain, Muscle Spasms",,,,,
144,Grand Hindu,Indica,0,,"Relaxed, Sleepy, Happy, Horny, Creative, Dry Mouth, Paranoid","Inflammation, Pain, Stress","Grape, Citrus",,,,
145,Grandaddy Purple,Indica,0,Holistic Healing Collective,,,,,,15.77%,< 0.01%
146,Grape Ape,Hybrid,0,Apothecary Seed Company,"Relaxed, Sleepy, Happy, Euphoric, Uplifted, Dry Mouth, Anxious","Stress, Pain, Insomnia, Depression","Grape, Sweet, Berry",Reefer - Grape Ape - Pre-roll,"Flowers,Pre-Roll",14.29%,0.21%
147,Grape Crush,Indica,0,,"Relaxed, Euphoric, Happy, Uplifted, Creative, Dry Mouth","Stress, Pain, Depression, Muscle Spasms, Insomnia","Grape, Sweet, Berry",,,,
148,Grape God,Hybrid,0,,,,,,,,
149,Grape Kush,Hybrid,0,Unknown Breeder,,,,Grape Kush - Oil,"Concentrate,Oil,",,
150,Grape Skunk,Hybrid,0,Next Generation Seeds,"Happy, Uplifted, Talkative, Energetic, Relaxed, Dry Mouth","Nausea, Stress, Pain, Depression, Insomnia","Skunk, Earthy, Grape",Grape Skunk - Shatter,"Concentrate,Shatter,",,
151,Grapefruit,Hybrid,0,Unknown Breeder,"Happy, Energetic, Euphoric, Relaxed, Uplifted, Dry Mouth, Paranoid","Stress, Depression, Pain","Citrus, Sweet",Grapefruit - Oil,"Concentrate,Oil,",,
152,Grapefruit Haze,Hybrid,0,Next Generation Seeds,"Uplifted, Happy, Euphoric, Relaxed, Talkative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain, Muscle Spasms","Lemon, Citrus",Grapefruit Haze - Hash,,,
153,Gravity,Hybrid,0,T.H.Seeds,"Sleepy, Hungry, Relaxed, Horny, Euphoric, Dry Mouth, Paranoid","Stress, Depression, Pain, Insomnia","Sweet, Citrus, Rose",,,,
154,Green Candy,Hybrid,0,Unknown Breeder,"Happy, Uplifted, Relaxed, Energetic, Focused, Dry Mouth, Paranoid, Anxious","Depression, Stress, Nausea, Pain, Insomnia","Sweet, Pine, Earthy",Green Candy - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
155,Green Crack,Hybrid,0,Unknown Breeder,"Energetic, Happy, Uplifted, Focused, Euphoric, Dry Mouth, Anxious, Paranoid","Stress, Depression, Pain","Citrus, Sweet, Earthy",Green Crack - Vaporizer Cartridge,"Vapes,Vape Cartidge,",13.42%,0.15%
156,Green Crack Extreme,Sativa,0,,"Energetic, Talkative, Uplifted, Creative, Focused, Dry Mouth, Paranoid","Stress, Depression, Pain, Nausea","Sweet, Earthy",,,,
157,Green Door Kush,Hybrid,0,,,,,,,,
158,Green Dream,Hybrid,0,Unknown Breeder,,,,Green Dream - Vaporizer Cartridge,"Vapes,Vape Cartidge,",,
159,Green Goblin,Sativa,0,,"Uplifted, Focused, Happy, Creative, Euphoric, Dry Mouth, Paranoid, Anxious","Lack of Appetite, Stress, Depression, Insomnia","Pine, Citrus",,,,
160,Green Hornet,Hybrid,0,,,,,,,,
161,Green Kush,Hybrid,0,Unknown Breeder,"Euphoric, Hungry, Energetic, Sleepy, Relaxed, Dry Mouth, Paranoid","Stress, Pain, Depression, Nausea, Insomnia","Citrus, Sweet, Earthy",Chocolate Mint Bar - Indica,"Edibles,Chocolate,",,
162,Green Queen,Hybrid,0,Unknown Breeder,,,,Green Queen - Oil,"Concentrate,Oil,",,
163,Harlequin,Hybrid,0,Unknown Breeder,"Relaxed, Focused, Uplifted, Happy, Energetic, Dry Mouth, Anxious","Stress, Pain, Depression, Inflammation","Earthy, Sweet",Harlequin CBD - Pre-roll,"Flowers,Pre-Roll",4.67%,6.64%
164,Hash Plant,Indica,0,Sensi Seeds,"Relaxed, Sleepy, Happy, Hungry, Euphoric, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression",Earthy,,,,
165,Hashberry,Hybrid,0,Mandala Seeds,"Relaxed, Happy, Euphoric, Uplifted, Tingly, Dry Mouth, Paranoid, Anxious","Pain, Insomnia, Lack of Appetite, Muscle Spasms","Berry, Sweet",Sleepytime - Orange (12oz),"Edibles,Drink,",,
166,Hashplant Haze,Sativa,0,,"Happy, Uplifted, Relaxed, Euphoric, Sleepy, Dry Mouth, Anxious","Pain, Stress, Depression, Insomnia","Blueberry, Sweet, Orange",,,,
167,Hawaiian Delight,Indica,0,,"Happy, Relaxed, Horny, Uplifted, Euphoric, Dry Mouth, Paranoid","Pain, Stress, Nausea, Depression",Sweet,,,,
168,Hawaiian Fire,Hybrid,0,,,,,,,,
169,Hawaiian Sativa,Hybrid,0,Unknown Breeder,"Uplifted, Euphoric, Happy, Relaxed, Sleepy, Dry Mouth, Paranoid","Nausea, Stress, Depression, Insomnia, Pain","Citrus, Sweet",,,,
170,Hawaiian Skunk,Hybrid,370,Reeferman Seeds,,,,,,,
171,Hawaiian Snow,Hybrid,0,Green House Seed Co.,"Happy, Relaxed, Uplifted, Euphoric, Creative, Dry Mouth, Anxious, Paranoid","Depression, Pain, Stress",,Hawaiian Snow - Vaporizer Disposable,"Vapes,Disposable Vape,",,
172,Hawaiian Thunder Fuck,Hybrid,0,,,,,,,,
173,Haze,Hybrid,0,Unknown Breeder,"Euphoric, Uplifted, Happy, Energetic, Creative, Dry Mouth, Paranoid, Anxious","Stress, Depression, Pain","Earthy, Sweet",Haze - Oil,"Concentrate,Oil,",,
174,Headband,Hybrid,0,Unknown Breeder,,,,Headband - Pre-roll,"Flowers,Pre-Roll",21.83%,0.09%
175,Heavy Duty Fruity,Hybrid,0,ThSeeds,,,,,,19.65%,0.15%
176,Hempstar,Sativa,174,Dutch Passion,"Happy, Focused, Relaxed, Euphoric, Uplifted, Dry Mouth, Paranoid","Stress, Depression, Nausea, Pain, Lack of Appetite",Earthy,,,,
177,Herojuana,Hybrid,0,StructuredHydro,,,,,,,
178,Himalayan Gold,Hybrid,0,Greenhouse,,,,,,,
179,Hindu Kush,Hybrid,0,Sacred Seeds,"Relaxed, Sleepy, Euphoric, Happy, Hungry, Dry Mouth, Anxious, Paranoid","Stress, Pain, Insomnia, Depression, Lack of Appetite","Earthy, Sweet",Hindu Kush - Shatter,"Concentrate,Shatter,",18.14%,0.16%
180,Hindu Skunk,Hybrid,0,Oaksterdam Seed Company,"Relaxed, Happy, Euphoric, Sleepy, Hungry, Dry Mouth, Paranoid","Stress, Pain, Insomnia, Depression, Nausea","Skunk, Earthy, Sweet",,,,
181,Hog's Breath,Hybrid,0,,,,,,,,
